typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3050672569","false","-1","N/A","0","false","0","true","0","false","21619335521","0","21619335521","4","false","true",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","8","ALB","Albania","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4","false","-1","N/A","0","false","0","true","0","false","2430","0","2430","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","20","AND","Andorra","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1010","false","-1","N/A","0","false","0","true","0","false","19429","0","19429","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","28","ATG","Antigua and Barbuda","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","28885","false","-1","N/A","0","false","0","true","0","false","9029","0","9029","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","32","ARG","Argentina","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3","false","-1","N/A","0","false","0","true","0","false","56883","0","56883","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","36","AUS","Australia","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","18911","false","-1","N/A","0","false","0","true","0","false","542282","0","542282","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","40","AUT","Austria","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","944099","false","-1","N/A","0","false","0","true","0","false","3978402","0","3978402","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","48","BHR","Bahrain","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2000","false","-1","N/A","0","false","0","true","0","false","3064","0","3064","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","56","BEL","Belgium","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","788558","false","-1","N/A","0","false","0","true","0","false","2990193","0","2990193","4","true","false",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","76","BRA","Brazil","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","85367","false","-1","N/A","0","false","0","true","0","false","827814","0","827814","4","true","false",
