typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20180101","2018","52","2018","156","CHN","China","M","Import","0","W00","World","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","118902826384","false","5","u","118902826384","false","23032972.754","true","0","false","127448457526","0","127448457526","4","false","true",
"C","A","20180101","2018","52","2018","156","CHN","China","M","Import","0","W00","World","0","W00","World","H5","HS","true","854232","Electronic integrated circuits; memories","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","39778560787","false","5","u","39778560787","false","8709862.061","true","0","false","123086689043","0","123086689043","4","false","true",
"C","A","20180101","2018","52","2018","156","CHN","China","M","Import","0","W00","World","0","W00","World","H5","HS","true","854239","Electronic integrated circuits; n.e.c. in heading no. 8542","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","229404591517","false","5","u","229404591517","false","25957966.286","true","0","false","51776577514","0","51776577514","4","false","true",
"C","A","20180101","2018","52","2018","156","CHN","China","X","Export","0","W00","World","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","82526594513","false","5","u","82526594513","false","16849802.415","true","0","false","0","29661575500","29661575500","4","false","true",
"C","A","20180101","2018","52","2018","156","CHN","China","X","Export","0","W00","World","0","W00","World","H5","HS","true","854232","Electronic integrated circuits; memories","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","21194175296","false","5","u","21194175296","false","3997609.732","true","0","false","0","44093888065","44093888065","4","false","true",
"C","A","20180101","2018","52","2018","156","CHN","China","X","Export","0","W00","World","0","W00","World","H5","HS","true","854239","Electronic integrated circuits; n.e.c. in heading no. 8542","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","107244512310","false","5","u","107244512310","false","12392165.861","true","0","false","0","9361580169","9361580169","4","false","true",
"C","A","20180101","2018","52","2018","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","12245341.511","true",,"false","8601145551.326",,"8601145551.326","0","false","true",
"C","A","20180101","2018","52","2018","344","HKG","China, Hong Kong SAR","M","Import","0","W00","World","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false",,"true",,"false","51747711836.406",,"51747711836.406","0","false","true",
"C","A","20180101","2018","52","2018","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H5","HS","true","854232","Electronic integrated circuits; memories","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","5","u","1375386664.86","true","-1","N/A","0","false","2816449.16","true",,"false","1955436657.188",,"1955436657.188","0","false","true",
"C","A","20180101","2018","52","2018","344","HKG","China, Hong Kong SAR","M","Import","0","W00","World","0","W00","World","H5","HS","true","854232","Electronic integrated circuits; memories","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false",,"true",,"false","46080479222.561",,"46080479222.561","0","false","true",
"C","A","20180101","2018","52","2018","276","DEU","Germany","M","Import","0","W00","World","0","W00","World","H5","HS","true","854239","Electronic integrated circuits; n.e.c. in heading no. 8542","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","13173665.498","true",,"false","8294112040.275",,"8294112040.275","0","false","true",
"C","A","20180101","2018","52","2018","344","HKG","China, Hong Kong SAR","M","Import","0","W00","World","0","W00","World","H5","HS","true","854239","Electronic integrated circuits; n.e.c. in heading no. 8542","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false",,"true",,"false","54657591213.59",,"54657591213.59","0","false","true",
"C","A","20180101","2018","52","2018","276","DEU","Germany","X","Export","0","W00","World","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","8041353.627","true",,"false",,"8043513459.918","8043513459.918","0","false","true",
