additional_duty,agoa_indicator,apta_indicator,atpa_ad_val_rate,atpa_indicator,atpa_specific_rate,atpdea_indicator,australia_ad_val_rate,australia_indicator,australia_other_rate,australia_rate_type_code,australia_specific_rate,bahrain_ad_val_rate,bahrain_indicator,bahrain_other_rate,bahrain_rate_type_code,bahrain_specific_rate,begin_effect_date,brief_description,cbi_ad_val_rate,cbi_indicator,cbi_specific_rate,cbtpa_ad_val_rate,cbtpa_indicator,cbtpa_rate_type_code,cbtpa_specific_rate,chile_ad_val_rate,chile_indicator,chile_other_rate,chile_rate_type_code,chile_specific_rate,civil_air_indicator,col1_special_mod,col1_special_text,col2_ad_val_rate,col2_other_rate,col2_rate_type_code,col2_specific_rate,col2_text_rate,colombia_ad_val_rate,colombia_indicator,colombia_other_rate,colombia_rate_type_code,colombia_specific_rate,dr_cafta_ad_val_rate,dr_cafta_indicator,dr_cafta_other_rate,dr_cafta_plus_ad_val_rate,dr_cafta_plus_indicator,dr_cafta_plus_other_rate,dr_cafta_plus_rate_type_code,dr_cafta_plus_specific_rate,dr_cafta_rate_type_code,dr_cafta_specific_rate,dyes_indicator,end_effective_date,footnote_comment,gsp_ctry_excluded,gsp_indicator,has_additional_duty,hs2,hs4,hs6,hts8,israel_fta_indicator,japan_ad_val_rate,japan_indicator,japan_other_rate,japan_rate_type_code,japan_specific_rate,jordan_ad_val_rate,jordan_indicator,jordan_other_rate,jordan_rate_type_code,jordan_specific_rate,korea_ad_val_rate,korea_indicator,korea_other_rate,korea_rate_type_code,korea_specific_rate,mexico_ad_val_rate,mexico_rate_type_code,mexico_specific_rate,mfn_ad_val_rate,mfn_ave,mfn_other_rate,mfn_rate_type_code,mfn_specific_rate,mfn_text_rate,morocco_ad_val_rate,morocco_indicator,morocco_other_rate,morocco_rate_type_code,morocco_specific_rate,nafta_canada_ind,nafta_mexico_ind,nepal_indicator,oman_ad_val_rate,oman_indicator,oman_other_rate,oman_rate_type_code,oman_specific_rate,panama_ad_val_rate,panama_indicator,panama_other_rate,panama_rate_type_code,panama_specific_rate,peru_ad_val_rate,peru_indicator,peru_other_rate,peru_rate_type_code,peru_specific_rate,pharmaceutical_ind,quantity_1_code,quantity_2_code,singapore_ad_val_rate,singapore_indicator,singapore_other_rate,singapore_rate_type_code,singapore_specific_rate,usmca_ad_val_rate,usmca_indicator,usmca_other_rate,usmca_rate_type_code,usmca_specific_rate,wto_binding_code,year,sector
,,,,,,,9999.999999,AU,9999.999999,9,9999.999999,9999.999999,BH,9999.999999,9,9999.999999,2015-01-01,"Peanuts (ground-nuts), seed, not roasted or cooked, shelled, not subject to gen note 15 or add. US note 2 to Ch.12",,,,,,,,0.0,CL,0.0,0.0,0.0,,,"Free (CL,JO,MX,SG) See 9913.12.05, 9913.12.20 (AU) See 9914.12.05, 9914.12.20 (BH) 96.6% (CO) See 9908.12.01 (IL) 79% (KR) See 9912.12.05-9912.12.20 (MA) See 9916.12.05, 9916.12.20  (OM) 88.30% (P) See 9915.12.05, 9915.12.20, 9915.12.40 (P+) 131.8% (PA) 70.2% (PE)                   ",1.55,0.0,7,0.0,155%,0.966,CO,0.0,7.0,0.0,0.883,P,0.0,9999.999999,P+,9999.999999,9.0,9999.999999,7,0.0,,2015-12-31,<desc>  See subheadings 9904.12.01-9904-12.19.,,,0,12,1202,120230,12023080,IL,,,,,,0.0,JO,0.0,0.0,0.0,0.79,KR,0.0,7,0.0,0.0,0,0.0,1.318,,0.0,7,0.0,131.8%,9999.999999,MA,9999.999999,9.0,9999.999999,,MX,,9999.999999,OM,9999.999999,9,9999.999999,1.318,PA,0.0,7,0.0,0.702,PE,0.0,7.0,0.0,,KG,,0.0,SG,0.0,0.0,0.0,,,,,,B,2015,other
,,,,,,,9999.999999,AU,9999.999999,9,9999.999999,9999.999999,BH,9999.999999,9,9999.999999,2015-01-01,"Peanuts (ground-nuts), not seed, not roasted or cooked, in shell, not subject to gen note 15 or add. US note 2 to Ch.12",,,,,,,,0.0,CL,0.0,0.0,0.0,,,"Free (CL,JO,MX,SG) See 9913.12.05-9913.12.10 (AU) See 9914.12.05-9914.12.10 (BH) 120.1% (CO) See 9908.12.01 (IL) 98.2% (KR) See 9912.12.05-9912.12.10 (MA) See 9916.12.05-9916.12.10  (OM) 109.70% (P) See 9915.12.05, 9915.12.10, 9915.12.30 (P+) 163.8% (PA) 87.3% (PE)                   ",1.927,0.0,7,0.0,192.7%,1.201,CO,0.0,7.0,0.0,1.097,P,0.0,9999.999999,P+,9999.999999,9.0,9999.999999,7,0.0,,2015-12-31,<desc>  See subheadings 9904.12.01-9904-12.19.,,,0,12,1202,120241,12024180,IL,,,,,,0.0,JO,0.0,0.0,0.0,0.982,KR,0.0,7,0.0,0.0,0,0.0,1.638,,0.0,7,0.0,163.8%,9999.999999,MA,9999.999999,9.0,9999.999999,,MX,,9999.999999,OM,9999.999999,9,9999.999999,1.638,PA,0.0,7,0.0,0.873,PE,0.0,7.0,0.0,,KG,,0.0,SG,0.0,0.0,0.0,,,,,,B,2015,other
,,,,,,,9999.999999,AU,9999.999999,9,9999.999999,9999.999999,BH,9999.999999,9,9999.999999,2015-01-01,"Peanuts (ground-nuts), not seed, not roasted or cooked, shelled, not subject to gen note 15 or add. US note 2 to Ch.12",,,,,,,,0.0,CL,0.0,0.0,0.0,,,"Free (CL,JO,MX,SG) See 9913.12.05, 9913.12.20 (AU) See 9914.12.05, 9914.12.20 (BH) 96.6% (CO) See 9908.12.01 (IL) 79% (KR) See 9912.12.05-9912.12.20 (MA) See 9916.12.05, 9916.12.20  (OM) 88.30% (P) See 9915.12.05, 9915.12.20, 9915.12.40 (P+) 131.8% (PA) 70.2% (PE)                   ",1.55,0.0,7,0.0,155%,0.966,CO,0.0,7.0,0.0,0.883,P,0.0,9999.999999,P+,9999.999999,9.0,9999.999999,7,0.0,,2015-12-31,<desc>  See subheadings 9904.12.01-9904-12.19.,,,0,12,1202,120242,12024280,IL,,,,,,0.0,JO,0.0,0.0,0.0,0.79,KR,0.0,7,0.0,0.0,0,0.0,1.318,,0.0,7,0.0,131.8%,9999.999999,MA,9999.999999,9.0,9999.999999,,MX,,9999.999999,OM,9999.999999,9,9999.999999,1.318,PA,0.0,7,0.0,0.702,PE,0.0,7.0,0.0,,KG,,0.0,SG,0.0,0.0,0.0,,,,,,B,2015,other
,,,,,,,0.0,AU,0.0,0,0.0,0.0,BH,0.0,0,0.0,2012-10-31,"Beet sugar, raw, in solid form, w/o added flavoring or coloring, subject to gen. note 15 of the HTS",0.0,E*,0.0,,,,,0.0,CL,0.0,0.0,0.0,,,"Free (A*,AU,BH,CA,CL,CO,E*,IL,JO,KR,MA,MX,OM,P,PA,PE,SG)                   ",9999.999999,9999.999999,,9999.999999,6.58170 cents/kg less 0.0622005 cents /kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 5.031562 cents /kg,0.0,CO,0.0,0.0,0.0,0.0,P,0.0,,,,,,0,0.0,,2050-12-31,,BRBA,A*,0,17,1701,170112,17011205,IL,,,,,,0.0,JO,0.0,0.0,0.0,0.0,KR,0.0,0,0.0,0.0,0,0.0,9999.999999,,9999.999999,,9999.999999,3.6606 cents/kg less 0.020668 cents/kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 3.143854 cents/kg,0.0,MA,0.0,0.0,0.0,CA,MX,,0.0,OM,0.0,0,0.0,0.0,PA,0.0,0,0.0,0.0,PE,0.0,0.0,0.0,,KG,,0.0,SG,0.0,0.0,0.0,,,,,,B,2015,other
,,,,,,,,,,,,0.0,BH,0.0,0,0.0,2015-01-01,"Beet sugar, raw, in solid form, w/o added flavoring or coloring, subject to add. US 5 to Ch.17",0.0,E*,0.0,,,,,0.0,CL,0.0,0.0,0.0,,,"Free (A*,BH,CA,CL,CO,E*,IL,JO,MA,MX,OM,P,PA,PE,SG) 0.7 cents/kg (KR) See 9822.05.15 (P+)                    ",9999.999999,9999.999999,,9999.999999,6.58170 cents/kg less 0.0622005 cents /kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 5.031562 cents /kg,0.0,CO,0.0,0.0,0.0,0.0,P,0.0,9999.999999,P+,9999.999999,9.0,9999.999999,0,0.0,,2015-12-31,,BR,A*,0,17,1701,170112,17011210,IL,,,,,,0.0,JO,0.0,0.0,0.0,0.0,KR,0.0,1,0.007,0.0,0,0.0,9999.999999,,9999.999999,,9999.999999,3.6606 cents/kg less 0.020668 cents/kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 3.143854 cents/kg,0.0,MA,0.0,0.0,0.0,CA,MX,,0.0,OM,0.0,0,0.0,0.0,PA,0.0,0,0.0,0.0,PE,0.0,0.0,0.0,,KG,,0.0,SG,0.0,0.0,0.0,,,,,,B,2015,other
,,,,,,,0.0,AU,0.0,0,0.0,0.0,BH,0.0,0,0.0,2012-10-31,"Cane sugar, raw, specified in subheading 2 to chapter 17, in solid form, w/o added flavoring or coloring, subject to gen. note 15 of the HTS",0.0,E*,0.0,,,,,0.0,CL,0.0,0.0,0.0,,,"Free (A*,AU,BH,CA,CL,CO,E*,IL,JO,KR,MA,MX,OM,P,PA,PE,SG)                   ",9999.999999,9999.999999,,9999.999999,4.3817 cents/kg less 0.0622005 cents /kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 2.831562 cents /kg,0.0,CO,0.0,0.0,0.0,0.0,P,0.0,,,,,,0,0.0,,2015-12-31,,BR,A*,0,17,1701,170113,17011305,IL,,,,,,0.0,JO,0.0,0.0,0.0,0.0,KR,0.0,0,0.0,0.0,0,0.0,9999.999999,,9999.999999,,9999.999999,1.4606 cents/kg less 0.020668 cents/kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 0.943854 cents/kg,0.0,MA,0.0,0.0,0.0,CA,MX,,0.0,OM,0.0,0,0.0,0.0,PA,0.0,0,0.0,0.0,PE,0.0,0.0,0.0,,KG,,0.0,SG,0.0,0.0,0.0,,,,,,B,2015,other
,,,,,,,,,,,,0.0,BH,0.0,0,0.0,2015-01-01,"Cane sugar, raw, specified in subheading 2 and subject to add'l note 5 to this chapter, in solid form, w/o added flavoring or coloring",0.0,E*,0.0,,,,,0.0,CL,0.0,0.0,0.0,,,"Free (A*,BH,CA,CL,CO,E*,IL,JO,MA,MX,OM,P,PA,PE,SG) 0.2 cents/kg less 0.01 cents/kg for each degree under 100 degrees (and fractions of a degree in proportion)  but not less than 0.1 cents/kg (KR) See 9822.05.15 (P+)                    ",9999.999999,9999.999999,,9999.999999,4.3817 cents/kg less 0.0622005 cents /kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 2.831562 cents /kg,0.0,CO,0.0,0.0,0.0,0.0,P,0.0,9999.999999,P+,9999.999999,9.0,9999.999999,0,0.0,,2015-12-31,,BR,A*,0,17,1701,170113,17011310,IL,,,,,,0.0,JO,0.0,0.0,0.0,0.0001,KR,0.001,K,0.002,0.0,0,0.0,9999.999999,,9999.999999,,9999.999999,1.4606 cents/kg less 0.020668 cents/kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 0.943854 cents/kg,0.0,MA,0.0,0.0,0.0,CA,MX,,0.0,OM,0.0,0,0.0,0.0,PA,0.0,0,0.0,0.0,PE,0.0,0.0,0.0,,KG,,0.0,SG,0.0,0.0,0.0,,,,,,B,2015,other
,,,,,,,7e-05,AU,0.003,K,0.005,0.0,BH,0.0,0,0.0,2015-01-01,"Cane sugar, raw, specified in subheading 2 to chapter 17, to be used for certain polyhydric alcohols",0.0,E*,0.0,,,,,0.0,CL,0.0,0.0,0.0,,,"Free (A*,BH,CA,CL,CO,E*,IL,JO,MA,MX,OM,P,PA,PE,SG) 0.5 cents/kg less 0.007 cents/kg for each degree under 100 degrees (and fractions of a degree in proportion)  but not less than 0.3 cents/kg (AU) 0.8 cents/kg less 0.1 cents/kg for each degree under 100 degrees (and fractions of a degree in proportion)  but not less than 0.5 cents/kg (KR)                   ",9999.999999,9999.999999,,9999.999999,4.3817 cents/kg less 0.0622005 cents /kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 2.831562 cents /kg,0.0,CO,0.0,0.0,0.0,0.0,P,0.0,,,,,,0,0.0,,2015-12-31,,BR,A*,0,17,1701,170113,17011320,IL,,,,,,0.0,JO,0.0,0.0,0.0,0.001,KR,0.005,K,0.008,0.0,0,0.0,9999.999999,,9999.999999,,9999.999999,1.4606 cents/kg less 0.020668 cents/kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 0.943854 cents/kg,0.0,MA,0.0,0.0,0.0,CA,MX,,0.0,OM,0.0,0,0.0,0.0,PA,0.0,0,0.0,0.0,PE,0.0,0.0,0.0,,KG,,0.0,SG,0.0,0.0,0.0,,,,,,B,2015,other
,,,,,,,0.0,AU,0.0,0,0.0,0.0,BH,0.0,0,0.0,2012-10-31,"Other cane sugar, raw, in solid form, w/o added flavoring or coloring, subject to gen. note 15 of the HTS",0.0,E*,0.0,,,,,0.0,CL,0.0,0.0,0.0,,,"Free (A*,AU,BH,CA,CL,CO,E*,IL,JO,KR,MA,MX,OM,P,PA,PE,SG)                   ",9999.999999,9999.999999,,9999.999999,4.3817 cents/kg less 0.0622005 cents /kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 2.831562 cents /kg,0.0,CO,0.0,0.0,0.0,0.0,P,0.0,,,,,,0,0.0,,2015-12-31,,BR,A*,0,17,1701,170114,17011405,IL,,,,,,0.0,JO,0.0,0.0,0.0,0.0,KR,0.0,0,0.0,0.0,0,0.0,9999.999999,,9999.999999,,9999.999999,1.4606 cents/kg less 0.020668 cents/kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 0.943854 cents/kg,0.0,MA,0.0,0.0,0.0,CA,MX,,0.0,OM,0.0,0,0.0,0.0,PA,0.0,0,0.0,0.0,PE,0.0,0.0,0.0,,KG,,0.0,SG,0.0,0.0,0.0,,,,,,B,2015,other
,,,,,,,,,,,,0.0,BH,0.0,0,0.0,2015-01-01,"Other cane sugar, raw, in solid form, w/o added flavoring or coloring, subject to add. US 5 to Ch.17",0.0,E*,0.0,,,,,0.0,CL,0.0,0.0,0.0,,,"Free (A*,BH,CA,CL,CO,E*,IL,JO,MA,MX,OM,P,PA,PE,SG) 0.2 cents/kg less 0.01 cents/kg for each degree under 100 degrees (and fractions of a degree in proportion)  but not less than 0.1 cents/kg (KR) See 9822.05.15 (P+)                    ",9999.999999,9999.999999,,9999.999999,4.3817 cents/kg less 0.0622005 cents /kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 2.831562 cents /kg,0.0,CO,0.0,0.0,0.0,0.0,P,0.0,9999.999999,P+,9999.999999,9.0,9999.999999,0,0.0,,2015-12-31,,BR,A*,0,17,1701,170114,17011410,IL,,,,,,0.0,JO,0.0,0.0,0.0,0.0001,KR,0.001,K,0.002,0.0,0,0.0,9999.999999,,9999.999999,,9999.999999,1.4606 cents/kg less 0.020668 cents/kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 0.943854 cents/kg,0.0,MA,0.0,0.0,0.0,CA,MX,,0.0,OM,0.0,0,0.0,0.0,PA,0.0,0,0.0,0.0,PE,0.0,0.0,0.0,,KG,,0.0,SG,0.0,0.0,0.0,,,,,,B,2015,other
