year,sector_big,export_US_to_CN_by_sector
2020,agriculture,24668457187.0
2020,arms_ammunition,1096413.0
2020,art_collectors_pieces,94981775.0
2020,base_metals,2933604998.0
2020,chemical,14011592700.0
2020,electrical_equipment,17059213094.0
2020,footwear_headgear,189173136.0
2020,hides_skins_leather,535279004.0
2020,machinery,13829148278.0
2020,mineral,10852281085.0
2020,misc_manufactures,360267937.0
2020,others,1211633488.0
2020,plastic_rubber,5909393013.0
2020,precision_instruments,9541706548.0
2020,stone_glass_jewelry,3648260792.0
2020,textiles,2455439059.0
2020,transport_equipment,12605119824.0
2020,wood_paper,4674862044.0
2021,agriculture,31392922360.0
2021,arms_ammunition,1770530.0
2021,art_collectors_pieces,187198037.0
2021,base_metals,3955018856.0
2021,chemical,17681939544.0
2021,electrical_equipment,19422465907.0
2021,footwear_headgear,142011364.0
2021,hides_skins_leather,796513769.0
2021,machinery,16701830364.0
2021,mineral,17348503050.0
2021,misc_manufactures,360021169.0
2021,others,1339521967.0
2021,plastic_rubber,6787015716.0
2021,precision_instruments,10799931175.0
2021,stone_glass_jewelry,4533123318.0
2021,textiles,2024982265.0
2021,transport_equipment,13292234957.0
2021,wood_paper,4672390640.0
2022,agriculture,35473743514.0
2022,arms_ammunition,456127.0
2022,art_collectors_pieces,197388498.0
2022,base_metals,4628197188.0
2022,chemical,21911516827.0
2022,electrical_equipment,15998278198.0
2022,footwear_headgear,86938192.0
2022,hides_skins_leather,673499695.0
2022,machinery,14912049479.0
2022,mineral,15157668356.0
2022,misc_manufactures,344445251.0
2022,others,1676497317.0
2022,plastic_rubber,7453573072.0
2022,precision_instruments,10966539596.0
2022,stone_glass_jewelry,3596949372.0
2022,textiles,3498255275.0
2022,transport_equipment,12923335260.0
2022,wood_paper,4488042374.0
2023,agriculture,27482063579.0
2023,arms_ammunition,632328.0
2023,art_collectors_pieces,138897263.0
2023,base_metals,4781994210.0
2023,chemical,21531186542.0
2023,electrical_equipment,11644282087.0
2023,footwear_headgear,104944898.0
2023,hides_skins_leather,667736630.0
2023,machinery,13723759418.0
2023,mineral,21293442263.0
2023,misc_manufactures,523847511.0
2023,others,2180281692.0
2023,plastic_rubber,7860750365.0
2023,precision_instruments,11354788229.0
2023,stone_glass_jewelry,3100321574.0
2023,textiles,2306442651.0
2023,transport_equipment,15018049372.0
2023,wood_paper,3922043606.0
2024,agriculture,23165282153.0
2024,arms_ammunition,340205.0
2024,art_collectors_pieces,145423137.0
2024,base_metals,5595462635.0
2024,chemical,21126379675.0
2024,electrical_equipment,15276721476.0
2024,footwear_headgear,122650851.0
2024,hides_skins_leather,593523148.0
2024,machinery,12865844642.0
2024,mineral,16519258996.0
2024,misc_manufactures,324476148.0
2024,others,2297926700.0
2024,plastic_rubber,8010770107.0
2024,precision_instruments,11251216108.0
2024,stone_glass_jewelry,2173119862.0
2024,textiles,2093545855.0
2024,transport_equipment,18037415155.0
2024,wood_paper,3627392515.0
2025,agriculture,0.0
2025,arms_ammunition,0.0
2025,art_collectors_pieces,0.0
2025,base_metals,0.0
2025,chemical,0.0
2025,electrical_equipment,0.0
2025,footwear_headgear,0.0
2025,hides_skins_leather,0.0
2025,machinery,0.0
2025,mineral,0.0
2025,misc_manufactures,0.0
2025,others,0.0
2025,plastic_rubber,0.0
2025,precision_instruments,0.0
2025,stone_glass_jewelry,0.0
2025,textiles,0.0
2025,transport_equipment,0.0
2025,wood_paper,0.0
